Container_ID,Commodity,Origin,Destination,Temperature_C,Humidity_Percent,Vibration_g,Latitude,Longitude,Timestamp,Sensor_Status,Battery_Level,Transport_Mode
C1044,Avocado,Bengaluru,Kolkata,11.2,55,0.83,24.533473,83.333143,01-08-2026 08:43,Active,100,Rail
C1045,Avocado,Hyderabad,Lucknow,14.3,76,0.97,21.599443,74.056318,01-08-2026 08:44,Active,97,Rail
C1046,Banana,Bengaluru,Lucknow,6.2,73,0.88,11.932722,82.971336,01-08-2026 08:45,Active,64,Rail
C1047,Banana,Hyderabad,Ahmedabad,9.1,55,0.53,12.308745,84.965021,01-08-2026 08:46,Active,78,Rail
C1048,Banana,Chennai,Kolkata,10.8,87,0.76,26.474207,85.134409,01-08-2026 08:47,Low Battery,50,Rail
C1049,Avocado,Chennai,Jaipur,12.6,70,1.04,12.605134,75.285644,01-08-2026 08:48,Low Battery,41,Rail
C1050,Orange,Pune,Ahmedabad,13,59,0.74,26.165807,81.49857,01-08-2026 08:49,Active,85,Rail
C1051,Mango,Pune,Jaipur,3.9,55,1.35,25.639032,86.610176,01-08-2026 08:50,Active,89,Truck
C1052,Orange,Pune,Lucknow,8,90,0.45,25.390895,79.53162,01-08-2026 08:51,Active,91,Rail
C1053,Banana,Pune,Ahmedabad,10,87,0.7,26.590522,79.357575,01-08-2026 08:52,Low Battery,50,Rail
C1054,Mango,Pune,Delhi,12.9,72,1.17,18.686646,82.341349,01-08-2026 08:53,Active,57,Rail
C1055,Mango,Bengaluru,Jaipur,5.5,75,1.35,9.651842,74.488706,01-08-2026 08:54,Active,64,Truck
C1056,Banana,Mumbai,Delhi,7.3,89,0.75,9.276447,85.742704,01-08-2026 08:55,Active,64,Rail
C1057,Banana,Pune,Lucknow,2.1,77,0.52,15.994726,86.712085,01-08-2026 08:56,Active,93,Truck
C1058,Banana,Pune,Jaipur,4.9,82,0.78,15.971573,83.036415,01-08-2026 08:57,Active,91,Rail
C1059,Mango,Chennai,Ahmedabad,14.7,89,0.14,16.077415,81.312468,01-08-2026 08:58,Low Battery,41,Truck
C1060,Banana,Pune,Kolkata,4.4,71,0.63,12.339036,77.392956,01-08-2026 08:59,Active,88,Rail
C1061,Apple,Bengaluru,Delhi,12.9,85,0.13,19.05809,88.498479,01-08-2026 09:00,Active,62,Truck
C1062,Avocado,Chennai,Lucknow,14.3,67,1.27,20.737381,75.935992,01-08-2026 09:01,Active,70,Truck
C1063,Banana,Bengaluru,Kolkata,11.1,78,0.33,20.448574,84.340773,01-08-2026 09:02,Low Battery,47,Truck
C1064,Orange,Bengaluru,Delhi,2.3,74,0.91,26.614536,78.192565,01-08-2026 09:03,Active,100,Truck
C1065,Avocado,Chennai,Kolkata,11.1,74,1.29,20.308438,73.997409,01-08-2026 09:04,Active,76,Rail
C1066,Apple,Hyderabad,Ahmedabad,2.9,76,0.12,16.611204,80.088328,01-08-2026 09:05,Active,67,Truck
C1067,Banana,Pune,Ahmedabad,4.3,88,1.45,13.536689,85.335287,01-08-2026 09:06,Active,74,Rail
C1068,Orange,Pune,Lucknow,5.5,70,1.26,9.776589,86.546915,01-08-2026 09:07,Active,55,Rail
C1069,Apple,Hyderabad,Lucknow,2.4,75,0.35,12.348457,85.164234,01-08-2026 09:08,Active,61,Rail
C1070,Orange,Bengaluru,Ahmedabad,2.1,67,0.22,22.761531,80.061534,01-08-2026 09:09,Active,88,Rail
C1071,Banana,Mumbai,Kolkata,12.3,60,0.51,16.290223,76.014535,01-08-2026 09:10,Active,82,Rail
C1072,Orange,Hyderabad,Kolkata,8.9,82,1.5,19.282964,77.804874,01-08-2026 09:11,Active,69,Rail
C1073,Mango,Bengaluru,Jaipur,3.6,67,0.54,23.229062,87.68948,01-08-2026 09:12,Active,84,Truck
C1074,Banana,Bengaluru,Kolkata,5.6,92,1.47,18.755056,76.669479,01-08-2026 09:13,Low Battery,46,Truck
C1075,Apple,Mumbai,Kolkata,4.3,55,1.09,10.594951,72.751009,01-08-2026 09:14,Low Battery,43,Truck
C1076,Banana,Chennai,Kolkata,3.3,55,0.9,17.622637,79.267735,01-08-2026 09:15,Active,51,Rail
C1077,Avocado,Bengaluru,Lucknow,12.7,80,0.79,19.828934,83.326442,01-08-2026 09:16,Low Battery,49,Rail
C1078,Avocado,Bengaluru,Lucknow,14.9,62,0.88,16.531567,81.836093,01-08-2026 09:17,Active,79,Rail
C1079,Banana,Chennai,Lucknow,13.8,74,1.3,28.295641,77.038774,01-08-2026 09:18,Active,79,Truck
C1080,Mango,Bengaluru,Delhi,10.1,71,1.02,11.21967,74.867924,01-08-2026 09:19,Low Battery,44,Rail
C1081,Banana,Pune,Delhi,11,85,0.51,12.745263,83.664771,01-08-2026 09:20,Active,84,Truck
C1082,Apple,Mumbai,Jaipur,12.2,95,0.93,24.480066,75.264017,01-08-2026 09:21,Low Battery,47,Truck
C1083,Apple,Mumbai,Kolkata,12.7,59,0.18,24.248886,81.818227,01-08-2026 09:22,Active,92,Rail
C1084,Avocado,Pune,Delhi,8.1,74,1.08,27.324863,80.257791,01-08-2026 09:23,Active,71,Truck
C1085,Banana,Mumbai,Lucknow,11.5,93,0.45,9.872201,87.871533,01-08-2026 09:24,Active,93,Truck
C1086,Apple,Mumbai,Ahmedabad,9.5,66,0.76,21.355945,87.115201,01-08-2026 09:25,Active,51,Rail
C1087,Avocado,Pune,Ahmedabad,8.1,81,0.57,21.737737,86.152596,01-08-2026 09:26,Active,61,Rail
C1088,Banana,Pune,Lucknow,12.6,90,0.15,9.805226,76.164581,01-08-2026 09:27,Low Battery,47,Truck
C1089,Orange,Pune,Delhi,8,58,0.36,15.416477,84.481312,01-08-2026 09:28,Active,80,Truck
C1090,Apple,Mumbai,Jaipur,9.1,73,0.71,22.314126,74.00353,01-08-2026 09:29,Active,80,Truck
C1091,Apple,Pune,Delhi,9.2,90,0.67,12.606364,85.883194,01-08-2026 09:30,Low Battery,47,Truck
C1092,Banana,Bengaluru,Ahmedabad,14.1,73,0.81,13.60521,85.772945,01-08-2026 09:31,Active,70,Truck
C1093,Banana,Pune,Kolkata,4.5,93,0.81,26.026188,86.256444,01-08-2026 09:32,Active,57,Rail
C1094,Avocado,Bengaluru,Ahmedabad,5.7,74,1.27,19.888429,82.889022,01-08-2026 09:33,Active,95,Rail
C1095,Apple,Bengaluru,Lucknow,6.3,89,0.63,27.123471,86.348428,01-08-2026 09:34,Active,84,Rail
C1096,Mango,Pune,Ahmedabad,13.1,81,0.16,23.266456,83.63626,01-08-2026 09:35,Active,91,Truck
C1097,Banana,Pune,Delhi,14.5,63,0.8,20.098699,86.350055,01-08-2026 09:36,Active,95,Rail
C1098,Avocado,Hyderabad,Kolkata,11.4,81,1.32,27.884114,73.234666,01-08-2026 09:37,Active,90,Rail
C1099,Avocado,Pune,Lucknow,13.1,89,0.63,14.491554,83.858838,01-08-2026 09:38,Active,88,Truck
C1100,Orange,Pune,Delhi,2.9,95,1.06,13.89127,75.753524,01-08-2026 09:39,Low Battery,45,Truck
C1101,Banana,Hyderabad,Kolkata,4.2,74,1.36,8.942815,85.136367,01-08-2026 09:40,Active,58,Rail
C1102,Mango,Mumbai,Ahmedabad,5.2,81,0.89,24.246649,74.80473,01-08-2026 09:41,Low Battery,45,Truck
C1103,Banana,Chennai,Ahmedabad,13.9,64,0.43,21.077045,79.582913,01-08-2026 09:42,Active,82,Rail
C1104,Orange,Hyderabad,Ahmedabad,4.1,83,1.42,28.24686,76.936045,01-08-2026 09:43,Active,67,Rail
C1105,Mango,Hyderabad,Delhi,15,85,0.25,15.817968,77.922826,01-08-2026 09:44,Active,58,Rail
C1106,Apple,Hyderabad,Jaipur,2.1,58,1.37,23.276029,85.741842,01-08-2026 09:45,Active,97,Rail
C1107,Mango,Bengaluru,Delhi,10.3,94,0.45,23.489335,84.663268,01-08-2026 09:46,Active,83,Truck
C1108,Apple,Hyderabad,Ahmedabad,12.3,57,0.91,23.013375,73.487201,01-08-2026 09:47,Active,58,Truck
C1109,Mango,Bengaluru,Kolkata,3.7,89,1.33,15.500079,80.279614,01-08-2026 09:48,Active,57,Rail
C1110,Apple,Bengaluru,Ahmedabad,11.7,76,1.23,17.600793,73.242439,01-08-2026 09:49,Active,88,Rail
C1111,Avocado,Hyderabad,Lucknow,12.3,55,0.47,10.533569,78.081663,01-08-2026 09:50,Active,87,Rail
C1112,Apple,Mumbai,Jaipur,3.4,69,0.76,20.700711,87.562291,01-08-2026 09:51,Active,60,Truck
C1113,Banana,Hyderabad,Ahmedabad,13.8,74,1.01,10.391857,72.748222,01-08-2026 09:52,Low Battery,42,Truck
C1114,Avocado,Mumbai,Ahmedabad,5.1,89,0.29,17.299697,83.063023,01-08-2026 09:53,Active,87,Truck
C1115,Banana,Hyderabad,Jaipur,10.5,86,0.96,27.250588,76.615712,01-08-2026 09:54,Active,84,Rail
C1116,Banana,Hyderabad,Delhi,14.4,78,0.24,22.056445,80.983687,01-08-2026 09:55,Active,81,Rail
C1117,Apple,Mumbai,Delhi,4.5,62,1.43,24.895917,73.512611,01-08-2026 09:56,Active,53,Truck
C1118,Apple,Bengaluru,Lucknow,5.2,63,1.2,12.206714,85.691994,01-08-2026 09:57,Active,75,Truck
C1119,Mango,Bengaluru,Lucknow,6.3,64,1.2,20.217624,76.575035,01-08-2026 09:58,Low Battery,49,Rail
C1120,Mango,Hyderabad,Delhi,3.4,56,0.28,15.343967,85.00912,01-08-2026 09:59,Active,77,Truck
C1121,Apple,Hyderabad,Lucknow,2.7,81,0.84,23.286138,79.858058,01-08-2026 10:00,Active,89,Truck
C1122,Banana,Hyderabad,Ahmedabad,8.5,94,0.16,24.056153,86.305185,01-08-2026 10:01,Active,73,Truck
C1123,Avocado,Chennai,Delhi,15,80,0.7,10.213218,83.754622,01-08-2026 10:02,Active,68,Rail
C1124,Orange,Pune,Lucknow,3.9,63,0.49,20.978073,81.047881,01-08-2026 10:03,Active,60,Rail
C1125,Banana,Mumbai,Jaipur,8.6,82,0.24,22.386478,86.07108,01-08-2026 10:04,Active,81,Rail
C1126,Banana,Hyderabad,Ahmedabad,13.5,81,0.57,17.296728,78.863829,01-08-2026 10:05,Low Battery,46,Rail
C1127,Apple,Chennai,Ahmedabad,6.9,64,1.06,17.722492,73.505209,01-08-2026 10:06,Low Battery,45,Truck
C1128,Apple,Chennai,Ahmedabad,12.6,90,0.18,27.610805,81.267776,01-08-2026 10:07,Active,82,Rail
C1129,Banana,Mumbai,Jaipur,13.3,58,1.46,20.308407,77.802162,01-08-2026 10:08,Active,76,Truck
C1130,Banana,Mumbai,Jaipur,4.9,61,0.59,19.403442,73.895608,01-08-2026 10:09,Active,57,Rail
C1131,Orange,Hyderabad,Delhi,14.7,94,0.96,21.175333,72.433188,01-08-2026 10:10,Active,99,Truck
C1132,Apple,Mumbai,Ahmedabad,11.1,74,1.39,15.19598,74.993192,01-08-2026 10:11,Low Battery,49,Truck
C1133,Mango,Hyderabad,Jaipur,11.6,56,0.23,18.874895,78.207208,01-08-2026 10:12,Active,69,Rail
C1134,Apple,Mumbai,Delhi,11.4,91,0.93,26.108515,74.567068,01-08-2026 10:13,Active,88,Truck
C1135,Apple,Mumbai,Delhi,7.8,82,0.78,17.061906,76.507253,01-08-2026 10:14,Active,88,Rail
C1136,Banana,Mumbai,Delhi,3.4,92,0.78,21.676217,72.749386,01-08-2026 10:15,Active,65,Truck
C1137,Mango,Chennai,Ahmedabad,5.9,68,1.17,23.665298,76.775878,01-08-2026 10:16,Low Battery,47,Rail
C1138,Mango,Hyderabad,Delhi,3.7,89,1.09,18.255378,85.750344,01-08-2026 10:17,Active,91,Rail
C1139,Avocado,Pune,Ahmedabad,7.7,84,1.39,25.673255,81.500026,01-08-2026 10:18,Active,76,Rail
C1140,Avocado,Hyderabad,Delhi,7.3,75,0.34,27.426093,79.591599,01-08-2026 10:19,Active,84,Rail
C1141,Avocado,Hyderabad,Jaipur,5.2,92,0.66,9.612265,86.363653,01-08-2026 10:20,Active,87,Rail
C1142,Mango,Hyderabad,Jaipur,3,95,0.26,18.454017,86.947725,01-08-2026 10:21,Active,62,Truck
C1143,Avocado,Bengaluru,Ahmedabad,3.9,67,0.34,11.133831,84.526014,01-08-2026 10:22,Low Battery,44,Rail
C1144,Orange,Hyderabad,Kolkata,11.9,83,1.05,26.081987,82.609365,01-08-2026 10:23,Active,79,Truck
C1145,Banana,Mumbai,Delhi,2.9,83,0.98,24.324758,81.758426,01-08-2026 10:24,Active,62,Rail
C1146,Banana,Chennai,Lucknow,7.9,58,0.62,13.885079,82.636997,01-08-2026 10:25,Active,94,Rail
C1147,Banana,Mumbai,Ahmedabad,9.5,57,0.73,24.601226,82.755318,01-08-2026 10:26,Active,60,Truck
C1148,Avocado,Bengaluru,Ahmedabad,7.9,76,1.48,9.728747,82.661097,01-08-2026 10:27,Low Battery,42,Rail
C1149,Orange,Hyderabad,Lucknow,8.8,65,0.61,26.817704,78.392373,01-08-2026 10:28,Active,89,Truck
C1150,Apple,Mumbai,Jaipur,2.9,61,0.88,15.924566,76.15793,01-08-2026 10:29,Active,94,Rail
C1151,Avocado,Pune,Jaipur,9.6,64,1.38,14.359751,82.824903,01-08-2026 10:30,Active,82,Truck
C1152,Apple,Mumbai,Delhi,9.3,76,1.24,21.737386,85.677823,01-08-2026 10:31,Active,87,Rail
C1153,Orange,Pune,Jaipur,6.7,78,0.53,27.498971,77.638584,01-08-2026 10:32,Active,89,Truck
C1154,Mango,Mumbai,Delhi,4,73,1.28,10.073386,84.719433,01-08-2026 10:33,Active,93,Rail
C1155,Orange,Bengaluru,Ahmedabad,3.7,79,0.32,11.707342,83.431953,01-08-2026 10:34,Active,79,Truck
C1156,Banana,Pune,Jaipur,6.7,70,1.46,20.517206,84.414454,01-08-2026 10:35,Active,90,Truck
C1157,Apple,Pune,Ahmedabad,14.6,85,1.37,11.977332,83.192063,01-08-2026 10:36,Active,76,Rail
C1158,Banana,Hyderabad,Delhi,8.5,81,1.45,24.74627,85.220777,01-08-2026 10:37,Low Battery,48,Rail
C1159,Apple,Bengaluru,Kolkata,9.2,61,1.1,18.576142,74.057183,01-08-2026 10:38,Low Battery,45,Rail
C1160,Orange,Hyderabad,Delhi,3.9,82,0.23,26.665352,85.475604,01-08-2026 10:39,Active,96,Rail
C1161,Avocado,Hyderabad,Delhi,7.2,78,0.43,28.38777,78.186059,01-08-2026 10:40,Low Battery,41,Rail
C1162,Mango,Pune,Ahmedabad,3.8,73,1.38,17.685326,85.713323,01-08-2026 10:41,Active,88,Truck
C1163,Avocado,Pune,Delhi,2.2,68,1.27,19.250487,83.999374,01-08-2026 10:42,Active,73,Rail
C1164,Mango,Chennai,Ahmedabad,5.9,58,0.43,21.098511,82.276374,01-08-2026 10:43,Low Battery,44,Truck
C1165,Orange,Pune,Jaipur,9.5,64,0.51,8.032069,77.821465,01-08-2026 10:44,Active,76,Truck
C1166,Orange,Mumbai,Delhi,14.7,59,1.43,19.15368,84.975804,01-08-2026 10:45,Active,72,Rail
C1167,Banana,Chennai,Kolkata,2.6,79,1.47,13.19983,72.267997,01-08-2026 10:46,Active,90,Truck
C1168,Avocado,Bengaluru,Ahmedabad,12,76,0.29,15.22213,77.58603,01-08-2026 10:47,Active,81,Rail
C1169,Mango,Chennai,Jaipur,12.5,59,1.1,27.343906,72.610233,01-08-2026 10:48,Active,52,Truck
C1170,Apple,Bengaluru,Kolkata,14.1,87,0.66,24.715825,79.811096,01-08-2026 10:49,Low Battery,42,Rail
C1171,Avocado,Pune,Ahmedabad,13.3,76,0.48,24.386519,79.209698,01-08-2026 10:50,Active,65,Rail
C1172,Mango,Pune,Delhi,8.5,86,0.61,24.344463,76.400891,01-08-2026 10:51,Low Battery,45,Rail
C1173,Orange,Hyderabad,Kolkata,14.9,66,0.86,14.584834,73.321137,01-08-2026 10:52,Active,82,Rail
C1174,Orange,Hyderabad,Lucknow,11.3,65,1.07,15.206713,72.69886,01-08-2026 10:53,Active,95,Rail
C1175,Apple,Bengaluru,Delhi,10.3,58,0.21,21.069007,77.994634,01-08-2026 10:54,Active,91,Truck
C1176,Orange,Hyderabad,Ahmedabad,10.8,83,0.15,9.378284,84.845504,01-08-2026 10:55,Active,63,Truck
C1177,Orange,Bengaluru,Lucknow,4,83,1.43,15.626274,84.590894,01-08-2026 10:56,Active,76,Rail
C1178,Banana,Mumbai,Ahmedabad,6.1,72,0.45,10.325697,84.138635,01-08-2026 10:57,Active,71,Truck
C1179,Apple,Bengaluru,Delhi,12.1,83,0.4,20.543482,83.450681,01-08-2026 10:58,Active,71,Truck
C1180,Avocado,Hyderabad,Delhi,7.9,83,1.5,24.615521,87.96476,01-08-2026 10:59,Active,60,Rail
C1181,Apple,Bengaluru,Jaipur,13.1,95,0.34,15.41059,75.699987,01-08-2026 11:00,Active,52,Rail
C1182,Avocado,Chennai,Delhi,6.7,91,0.62,24.475065,81.102174,01-08-2026 11:01,Active,79,Rail
C1183,Banana,Bengaluru,Kolkata,15,85,0.84,23.767873,85.5851,01-08-2026 11:02,Low Battery,44,Truck
C1184,Banana,Mumbai,Jaipur,8.1,88,0.58,25.998183,84.874338,01-08-2026 11:03,Active,80,Truck
C1185,Banana,Hyderabad,Jaipur,8.5,58,1.26,18.621094,77.018055,01-08-2026 11:04,Low Battery,50,Rail
C1186,Orange,Hyderabad,Lucknow,13.6,60,0.45,21.01867,81.088883,01-08-2026 11:05,Low Battery,48,Truck
C1187,Orange,Mumbai,Kolkata,10.3,92,1.42,11.160982,82.869092,01-08-2026 11:06,Active,86,Truck
C1188,Avocado,Chennai,Ahmedabad,3.1,91,0.47,12.321572,81.440264,01-08-2026 11:07,Active,79,Rail
C1189,Apple,Pune,Ahmedabad,8.3,80,0.52,9.495947,72.988565,01-08-2026 11:08,Active,68,Rail
C1190,Mango,Hyderabad,Ahmedabad,6.4,64,0.54,22.726439,84.114296,01-08-2026 11:09,Active,95,Truck
C1191,Apple,Bengaluru,Delhi,8.7,61,0.55,17.562688,76.413283,01-08-2026 11:10,Active,55,Truck
C1192,Apple,Hyderabad,Lucknow,14.3,94,0.69,27.73506,86.888129,01-08-2026 11:11,Active,92,Rail
C1193,Mango,Chennai,Delhi,11.9,86,1.49,17.56971,86.504748,01-08-2026 11:12,Active,71,Rail
C1194,Orange,Mumbai,Ahmedabad,7.9,70,0.4,15.234349,72.833917,01-08-2026 11:13,Active,71,Rail
C1195,Orange,Pune,Kolkata,2.1,61,0.7,26.090342,84.003883,01-08-2026 11:14,Active,88,Truck
C1196,Banana,Pune,Lucknow,2.7,90,0.37,19.34107,73.213274,01-08-2026 11:15,Active,72,Rail
C1197,Orange,Mumbai,Kolkata,10.8,62,0.28,9.98197,78.157773,01-08-2026 11:16,Active,61,Truck
C1198,Mango,Pune,Lucknow,9.8,80,0.8,8.928719,74.2611,01-08-2026 11:17,Active,61,Rail
C1199,Mango,Mumbai,Kolkata,9.9,87,0.3,27.093059,77.255746,01-08-2026 11:18,Active,65,Rail
C1200,Orange,Hyderabad,Kolkata,12.8,89,0.79,19.539947,79.835728,01-08-2026 11:19,Low Battery,41,Truck
C1201,Banana,Mumbai,Lucknow,9.6,95,0.14,17.729099,87.956666,01-08-2026 11:20,Active,90,Truck
C1202,Avocado,Bengaluru,Jaipur,9.6,65,0.83,22.784248,84.781001,01-08-2026 11:21,Active,64,Truck
C1203,Orange,Bengaluru,Ahmedabad,14.3,62,0.37,17.041291,78.909875,01-08-2026 11:22,Active,66,Rail
C1204,Avocado,Pune,Kolkata,11.2,88,0.39,14.663515,82.926742,01-08-2026 11:23,Active,73,Truck
C1205,Banana,Hyderabad,Lucknow,13.9,76,0.86,21.855306,86.316298,01-08-2026 11:24,Active,83,Rail
C1206,Mango,Hyderabad,Jaipur,14.4,72,0.88,12.609774,88.053025,01-08-2026 11:25,Active,59,Rail
C1207,Apple,Mumbai,Lucknow,8.2,90,1.41,24.30581,76.512049,01-08-2026 11:26,Low Battery,47,Rail
C1208,Banana,Pune,Kolkata,12.6,64,0.51,13.896422,83.783331,01-08-2026 11:27,Active,62,Rail
C1209,Mango,Mumbai,Lucknow,4.6,89,0.48,19.521369,76.481754,01-08-2026 11:28,Low Battery,46,Truck
C1210,Mango,Pune,Delhi,2.7,88,0.42,12.773149,73.653266,01-08-2026 11:29,Active,61,Truck
C1211,Avocado,Bengaluru,Kolkata,14.5,65,0.67,27.168158,86.493594,01-08-2026 11:30,Active,70,Rail
C1212,Apple,Chennai,Jaipur,10.4,60,1.01,12.760514,84.188328,01-08-2026 11:31,Active,94,Rail
C1213,Mango,Hyderabad,Delhi,14.1,57,1.5,16.138389,80.173834,01-08-2026 11:32,Active,99,Truck
C1214,Apple,Mumbai,Lucknow,9.4,61,1.4,14.868363,79.49676,01-08-2026 11:33,Active,81,Rail
C1215,Mango,Pune,Kolkata,13.1,84,0.48,24.580685,77.456288,01-08-2026 11:34,Active,86,Truck
C1216,Avocado,Pune,Ahmedabad,11.6,73,0.89,23.524296,74.895666,01-08-2026 11:35,Active,94,Rail
C1217,Avocado,Chennai,Kolkata,7.2,61,0.36,10.882543,77.339428,01-08-2026 11:36,Active,55,Rail
C1218,Mango,Hyderabad,Kolkata,7.8,72,1.44,14.18989,83.927562,01-08-2026 11:37,Low Battery,40,Truck
C1219,Avocado,Hyderabad,Delhi,10.7,84,0.53,16.311041,80.291588,01-08-2026 11:38,Active,97,Rail
C1220,Apple,Hyderabad,Ahmedabad,10,69,1.44,17.802729,79.507148,01-08-2026 11:39,Active,78,Rail
C1221,Orange,Chennai,Lucknow,12.4,68,1.17,21.947009,81.830939,01-08-2026 11:40,Active,90,Rail
C1222,Orange,Mumbai,Jaipur,11.1,59,1.38,10.30028,85.674772,01-08-2026 11:41,Active,97,Truck
C1223,Mango,Chennai,Lucknow,6.3,88,0.72,21.946052,83.829146,01-08-2026 11:42,Active,71,Rail
C1224,Avocado,Hyderabad,Delhi,7.9,87,0.68,19.560179,81.220154,01-08-2026 11:43,Active,83,Rail
C1225,Apple,Mumbai,Delhi,12.6,68,0.91,8.928441,77.684726,01-08-2026 11:44,Low Battery,44,Truck
C1226,Banana,Pune,Kolkata,2.4,81,0.35,10.776292,82.585163,01-08-2026 11:45,Active,86,Rail
C1227,Banana,Bengaluru,Kolkata,13.3,79,0.63,21.995972,82.919577,01-08-2026 11:46,Active,74,Truck
